1,1,5
2,1,4
5,1,4
6,1,4
10,1,4
13,1,3
15,1,1
16,1,5
17,1,4
18,1,5
20,1,3
21,1,5
23,1,5
25,1,5
26,1,3
38,1,5
41,1,4
42,1,5
43,1,5
44,1,4
45,1,5
49,1,2
54,1,4
56,1,4
57,1,5
58,1,5
59,1,2
62,1,2
63,1,3
64,1,4
65,1,3
66,1,3
67,1,3
70,1,4
72,1,4
73,1,2
75,1,4
77,1,5
79,1,4
81,1,4
82,1,4
83,1,4
84,1,2
89,1,5
92,1,4
93,1,5
94,1,4
95,1,5
96,1,5
97,1,4
99,1,4
101,1,3
102,1,3
106,1,4
108,1,4
109,1,4
117,1,4
120,1,4
121,1,4
124,1,3
125,1,4
128,1,4
130,1,5
131,1,4
134,1,5
137,1,3
138,1,4
141,1,3
144,1,4
145,1,3
148,1,4
150,1,4
151,1,5
157,1,5
158,1,4
160,1,4
162,1,4
168,1,5
174,1,3
177,1,3
178,1,4
181,1,3
182,1,4
184,1,4
189,1,5
193,1,4
194,1,4
198,1,4
199,1,1
200,1,5
201,1,3
202,1,3
203,1,3
204,1,2
209,1,5
210,1,5
213,1,2
216,1,4
222,1,4
223,1,4
230,1,5
231,1,3
232,1,4
234,1,3
235,1,4
242,1,4
243,1,4
244,1,4
246,1,4
247,1,4
248,1,3
249,1,4
250,1,4
251,1,4
252,1,5
253,1,5
254,1,3
256,1,5
262,1,3
263,1,5
265,1,5
268,1,3
271,1,3
274,1,4
275,1,4
276,1,5
277,1,4
279,1,3
280,1,4
286,1,4
287,1,5
289,1,3
290,1,5
291,1,5
292,1,4
293,1,2
294,1,5
295,1,4
296,1,5
297,1,3
298,1,5
299,1,3
301,1,4
303,1,5
305,1,5
307,1,5
308,1,4
311,1,4
312,1,5
313,1,4
314,1,5
320,1,3
322,1,2
324,1,5
325,1,2
326,1,3
327,1,4
330,1,5
331,1,1
332,1,4
336,1,3
338,1,3
339,1,5
340,1,5
343,1,5
344,1,3
345,1,3
347,1,4
348,1,4
350,1,4
357,1,5
359,1,4
360,1,3
363,1,2
365,1,4
371,1,4
374,1,4
378,1,4
379,1,4
380,1,4
381,1,5
387,1,4
388,1,5
389,1,4
390,1,5
393,1,3
394,1,4
395,1,5
396,1,4
398,1,5
399,1,4
401,1,2
402,1,5
403,1,4
406,1,4
407,1,4
411,1,4
412,1,4
416,1,5
417,1,4
419,1,4
422,1,3
424,1,1
425,1,2
429,1,3
432,1,2
434,1,4
435,1,5
438,1,4
441,1,5
445,1,3
447,1,3
450,1,4
454,1,3
455,1,4
456,1,2
457,1,4
458,1,4
459,1,4
460,1,2
463,1,1
465,1,4
467,1,4
468,1,5
470,1,3
471,1,4
472,1,5
478,1,4
479,1,5
